"strd_date","algr_strd_date","algr_no","algr_nm","algr_tst_dgre","dnf_aset_dv_val","stck_hld_dv_val","stck_icln_typ_val","acc_pfr_rnk","stp_amt","lmco_fltu_rt","dly_prft_rt","awk_prft_rt","mm1_prft_rt","mm3_prft_rt","mm6_prft_rt","yy1_prft_rt","yy2_prft_rt","yy3_prft_rt","acml_prft_rt"
"20201120","20201119","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","01","0","1140.57","-1.5","-0.13","0.19","-3.3","-6.05","-6.75","1.17","14.57","16.79","14.06"
"20201120","20201119","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","02","0","1237.25","-4.52","-0.36","0.67","-1.11","-3.4","-0.26","4.1","18.74","20.3","23.72"
"20201120","20201119","20","쿼터백 글로벌자산배분 해외상장ETF","1","99","00","03","0","1305.74","-6.28","-0.48","0.91","-0.09","-2.08","4.25","5.72","21.45","24.16","30.57"
"20201120","20201119","21","W_Robo 글로벌자산배분","1","99","00","01","0","1275.89","-1.13","-0.09","0.35","-3.49","-3.03","10.65","16.68","26.77","25.7","27.59"
"20201120","20201119","21","W_Robo 글로벌자산배분","1","99","00","02","0","1166.35","-0.32","-0.03","1.33","-2.84","-0.97","11.27","7.36","13.69","11.64","16.63"
"20201120","20201119","21","W_Robo 글로벌자산배분","1","99","00","03","0","1328.07","0.5","0.04","1.12","-2.77","0.7","18.78","22.17","31.62","26.42","32.81"
"20201120","20201119","25","신한-디셈버 ISAAC 펀드","1","00","00","01","0","1158.3","6.43","0.56","0.88","2.3","2.9","10.85","5.96","11.51","13.84","15.83"
"20201120","20201119","25","신한-디셈버 ISAAC 펀드","1","00","00","02","0","1170.83","10.83","0.93","1.69","3.62","4.93","18.53","6.17","13.38","14.1","17.08"
"20201120","20201119","25","신한-디셈버 ISAAC 펀드","1","00","00","03","0","1180.68","15.66","1.34","2.45","5.21","7.18","27.5","4.86","14.8","10.43","18.07"
"20201120","20201119","35","대신로보밸런스","1","00","00","01","0","1165.69","0.95","0.08","0.73","2.22","1.78","8.39","7.09","12.3","8.09","16.57"
